DEPTH,CALI,DT,NPHI,PHIE,RHOB,SW,litho,VCLC,VDOL,VOL_SHALE,VSAN .V/V
2619.2988,5.7282,67.6576,0.17,0.1369,2.6031,0.6,1,0.0444,0.6163,0.0852,0.425
2619.4512,5.7257,67.2833,0.1679,0.1398,2.6059,0.564,1,0.0323,0.6256,0.0736,0.425
2619.6036,5.7062,66.8771,0.1659,0.1394,2.6057,0.5448,1,0.0445,0.6282,0.069,0.425
2619.756,5.6865,67.5784,0.1639,0.1425,2.6041,0.521,1,0.0665,0.545,0.0652,0.425
2619.9084,5.6843,66.3941,0.1618,0.1445,2.6026,0.5126,1,0.0652,0.6099,0.0492,0.425
2620.0608,5.6995,67.3013,0.1593,0.1466,2.6015,0.4941,1,0.0952,0.5008,0.049,0.425
2620.2132,5.6949,69.0411,0.1563,0.1455,2.6013,0.4805,2,0.1497,0.3116,0.0617,0.425
2620.3656,5.6057,70.8021,0.1532,0.1446,2.601,0.4673,2,0.2013,0.1301,0.0734,0.425
2620.518,5.499,67.4021,0.1528,0.1259,2.6032,0.5107,2,0.2037,0.3868,0.0853,0.425
2620.6704,5.7914,66.1428,0.1528,0.1189,2.6232,0.5105,1,0.1209,0.5238,0.0897,0.425
2620.8228,5.8677,65.3157,0.1496,0.11,2.6433,0.5126,1,0.0747,0.5725,0.0974,0.425
2620.9752,5.8487,64.3655,0.1374,0.0913,2.6633,0.5519,1,0.1213,0.5091,0.1145,0.425
2621.1276,5.7447,61.9295,0.1311,0.0796,2.6712,0.3084,1,0.1373,0.6246,0.1118,0.425
2621.28,5.7739,61.7444,0.125,0.0775,2.6766,0.2728,1,0.1624,0.5651,0.107,0.425
2621.4324,5.771,62.3731,0.1218,0.0849,2.6821,0.4642,2,0.146,0.4906,0.0927,0.425
2621.5848,5.7349,60.4396,0.1238,0.0931,2.6722,0.2736,1,0.1226,0.6619,0.0623,0.425
2621.7372,5.7341,59.9493,0.1258,0.1051,2.6502,0.2184,1,0.1571,0.6946,0.0355,0.425
2621.8896,5.7482,62.1431,0.1279,0.1175,2.6282,0.3672,1,0.2288,0.5274,0.0288,0.425
2622.042,5.7124,61.3899,0.1372,0.1237,2.6123,0.1958,1,0.1995,0.6456,0.023,0.425
2622.1944,5.6925,60.5511,0.1555,0.1314,2.6128,0.1797,1,0.049,0.7879,0.0271,0.425
2622.3468,5.69,60.7002,0.1738,0.1285,2.6132,0.1634,1,0.0023,0.8042,0.0555,0.425
2622.4992,5.688,61.2348,0.1844,0.0412,2.6137,0.0058,1,0.0,0.6361,0.2778,0.425
2622.6516,5.7395,63.8653,0.1935,0.014,2.5242,0.0331,2,0.3788,0.1651,0.3763,0.0052
2622.804,5.7938,77.2063,0.1357,0.0009,2.4343,0.9382,2,0.0197,0.007,0.4783,0.417
2622.9564,5.9492,77.7122,0.1767,0.0157,2.3443,0.0349,5,0.0,0.0,0.5239,0.3759
2623.1088,5.9594,77.8874,0.26,0.0008,2.3253,0.9482,5,0.0,0.0,0.6543,0.2393
2623.2612,6.2391,78.0626,0.2511,0.0,2.3346,1.0,5,0.0,0.0,0.6539,0.2406
